pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,fonte_dados,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,fonte_id,time_idx
Lebanon,LBN,2018,1.1245363537925972,-0.10480947609719922,0.02608774255357789,-0.15016135639297357,0.19358529843344363,-0.24368504771994398,0.46979915544073664,-1.106162750905227,-1.212208893524284,-0.025349315557772752,-1.268571375299001,0.39175050207493695,-0.45668106056623414,-0.13953601943472838,0.4144282791821931,ambos,15.604619851911318,3.7845090448031216,60,0,22
Lebanon,LBN,2019,1.030427929368827,-1.1008336886314718,0.0634505028914867,-0.3035040617217898,-0.007157342842159803,-0.2448158292438811,0.3747996823216523,-1.2154609938075633,-1.212208893524284,-0.025349315557772752,-1.5430217493697154,0.39175050207493695,-0.45668106056623414,-0.18663104150950469,0.4144282791821931,ambos,15.572436144479381,3.7580972995886044,60,0,23
Lebanon,LBN,2020,0.5599303253759905,-1.7623460327901352,0.08587879101016999,-0.676983610163614,0.23308163676276566,-0.2453659072461547,0.39652207721099164,-1.7057782399286119,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-0.24881985843749468,-0.594749899324806,-0.6575812622572673,0.12933429191213544,ambos,15.556397521453798,3.789624454404957,60,0,24
Lebanon,LBN,2021,0.42444972706649253,-2.0940957800298303,0.14436699605756462,0.15706258871642229,-0.19984437393015508,-0.24527209160873278,0.4392844702747105,-2.0303334748964015,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-0.24881985843749468,-0.8708875768419492,-0.7133977591422691,-0.15575969535792394,ambos,15.559151162650874,3.732071930851557,60,0,25
Lebanon,LBN,2022,0.4057880801673879,-2.594903351195276,0.035422757345655004,1.2050298795486127,-0.2144090561314976,-0.2451147756005985,0.23962246023814612,-2.0611088504845494,-1.212208893524284,-1.232987325051966,-1.8174721234404299,-0.24881985843749468,-0.8708875768419492,-0.7482826118271256,0.03430296282211527,ambos,15.563751692478498,3.7300769343035705,60,0,26
Lebanon,LBN,2023,0.38422222667587863,-2.5134558153501696,-0.02510510623960273,0.8945929775296951,-0.08235732004316221,-0.2449417262017315,0.3192974464667624,-2.08657946242571,-1.212208893524284,-1.232987325051966,-1.8174721234404299,-0.24881985843749468,-1.0089564156005206,-0.7622368668678817,-0.08448619854040938,ambos,15.568788001142538,3.748020809564223,60,0,27
Liberia,LBR,2019,-1.071768051850619,-0.09262817618332268,-0.9817793167678298,-0.16115048806531496,-0.19664037693082245,-0.24929583618345752,-1.2651738394090843,-0.8397943445439332,-0.5866753058539755,-1.232987325051966,0.10368049505457075,-0.6758671640231085,-0.45668106056623414,0.43955850050334244,-2.151417606248339,ambos,15.433654859559956,3.732510264604619,61,0,18
Liberia,LBR,2020,-1.0834687698825658,-0.09262817618332268,-0.9322793234652447,-0.16115048806531496,-1.1714643334001795,-0.2486649373579508,-1.2806855394888825,-0.8519895767433507,-0.5866753058539755,-1.232987325051966,0.10368049505457075,-1.1029144696087223,-0.45668106056623414,0.4168827706523608,-1.9851127803408046,ambos,15.45440318955356,3.5894076176029217,61,0,19
Liberia,LBR,2021,-1.0772247829664485,-0.09262817618332268,-0.9322793234652447,-0.16115048806531496,-0.8492308376905857,-0.2480094689067189,-1.2985330451435149,-0.6620018322351279,-0.5866753058539755,-1.232987325051966,-0.1707698790161436,-1.1029144696087223,-0.3186122218076625,0.4360698059236481,-2.0088706126133107,ambos,15.475513059344594,3.639012109187391,61,0,20
Liberia,LBR,2022,-1.0712856741906138,-0.09262817618332268,-0.9322793234652447,-0.16115048806531496,-0.11228305404314773,-0.24732947259454566,-1.2987790839742437,-0.5303473018527098,-0.5866753058539755,-1.232987325051966,-0.1707698790161436,-1.1029144696087223,-0.3186122218076625,0.4360698059236481,-2.151417606248339,ambos,15.496951872354161,3.743982469195198,61,0,21
Liberia,LBR,2023,-1.0656248050705304,-0.09262817618332268,-0.9322793234652447,-0.16115048806531496,0.5911382238543146,-0.24661507403323893,-1.2888424867526975,-0.30796701706520835,-0.5866753058539755,-1.232987325051966,0.3781308691252851,-1.1029144696087223,-0.45668106056623414,0.46048962142546523,-2.1039019417033296,ambos,15.518990937904002,3.8348422112857516,61,0,22
Libya,LBY,2018,1.1387332192052437,-0.7961627505282513,1.2326745082572377,-0.28024810462010746,-0.37135134531986497,-0.23852449555960598,0.222831104594668,1.8947570447572541,-1.212208893524284,-1.232987325051966,-1.8174721234404299,-2.170532135706768,-1.6993006093933776,-1.0012006718214579,-0.29830668899295476,ambos,15.739621390522728,3.7083234137426824,62,0,22
Libya,LBY,2019,0.8330464983601328,-1.0768588752655572,1.2326745082572377,0.1618679619755305,-0.37135134531986497,-0.237916054255039,0.13395479072798347,1.919926473658875,-1.212208893524284,-1.232987325051966,-1.8174721234404299,-2.170532135706768,-1.6993006093933776,-1.0308527442757827,-0.29830668899295476,ambos,15.754400983453195,3.7083234137426824,62,0,23
Libya,LBY,2020,0.18247708986563746,-1.5986144881200686,1.2326745082572377,-0.6523974379846462,-0.35371935749291566,-0.23735302916975817,0.057167099677146435,-0.9267490611257393,-1.212208893524284,-1.232987325051966,-1.8174721234404299,-2.170532135706768,-1.8373694481519498,-1.043062913665703,-0.29830668899295476,ambos,15.767885479559752,3.7107910842407725,62,0,24
Libya,LBY,2021,0.5799425391018226,-1.2702095940241567,1.2326745082572377,2.64057245192503,-0.35394543134062817,-0.2368173898499166,0.09170120441407291,4.005902853115401,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-2.170532135706768,-1.8373694481519498,-1.043062913665703,-0.29830668899295476,ambos,15.780547475722692,3.7107594827666257,62,0,25
Libya,LBY,2022,0.40210265763637076,-1.4689560393597636,1.2326745082572377,2.409169276467866,-0.36950631615078117,-0.23628858802183825,0.017311702984644697,4.167026978848101,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-2.170532135706768,-1.8373694481519498,-1.023875878394416,-0.29830668899295476,ambos,15.79289251879034,3.7085819187449016,62,0,26
Libya,LBY,2023,0.5553271697127561,-0.6985136239130167,1.2326745082572377,2.499614438990296,-0.33770632498733766,-0.23580021450456956,0.07125128873870183,4.3394842260789845,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-1.9570084829139611,-1.8373694481519498,-1.0727149861200282,0.05806079509462031,ambos,15.804159948161681,3.713026910976897,62,0,27
