pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,time_idx
Montenegro,MNE,2021,2.252150741853587,-0.042126406552980805,1.0789149657328452,0.921860191449259,1.3732164789859513,-0.27241598375271253,-0.10900174229977061,-0.9954238699398636,0.0023200212374607228,-0.051478348695809785,-0.1915646424211279,1.021326561323618,0.7482612953688889,1.408906674742059,0.12955447154404823,13.345593324986273,3.9334907687887855,75,21
Montenegro,MNE,2022,2.5361433867462897,-0.10206808565130594,1.0425838384830985,1.4941729572946607,1.7191188412495446,-0.27242482481415625,0.17908094571868682,-1.114751785746136,0.0023200212374607228,-0.051478348695809785,-0.1915646424211279,1.021326561323618,0.7482612953688889,1.4839809371263857,0.12955447154404823,13.3432515873471,3.972758232673416,75,22
Montenegro,MNE,2023,2.7851498255108154,-0.26130720770414245,1.1045876024758374,1.2433666178438176,0.5222431697405099,-0.27242519974289053,0.09569448601618172,-1.1715622327629098,0.0023200212374607228,-0.051478348695809785,0.07763796992567584,1.021326561323618,0.7482612953688889,1.5223906716166657,0.12955447154404823,13.34315215842186,3.8297669087663597,75,23
Mongolia,MNG,2018,0.9832154936594748,0.5164276854494375,1.0112110769297133,1.520268751697343,1.8629413792444756,-0.25679514647944984,0.30115897458752505,0.9268239858303366,-0.6042661977638185,-0.051478348695809785,1.4236510316596944,0.8082753311940414,0.34166951112531785,1.056234047772703,0.8496719664878105,14.981217473147366,3.9886420056416023,76,22
Mongolia,MNG,2019,1.0672811134537992,0.6545155346573667,0.9188815059163008,1.463452434879454,2.2670344323636242,-0.25643543259510043,0.3198117864152979,0.9365588172693495,-0.6042661977638185,-0.051478348695809785,1.1544484193128908,0.8082753311940414,0.34166951112531785,1.056234047772703,1.1137150479671907,14.99958897478419,4.031965357045288,76,23
Mongolia,MNG,2020,0.9188827128525598,0.11998104891634218,1.159295734603718,1.1283042767381812,1.5424140454137873,-0.2560754344905815,0.27800403224694015,0.8497954742927167,-0.6042661977638185,-0.051478348695809785,1.4236510316596944,0.8082753311940414,0.34166951112531785,1.0527420632657736,1.1377189644653156,15.017643170174798,3.9528910768661216,76,24
Mongolia,MNG,2021,0.9175190799348627,0.5152041579612793,1.265984307786553,1.3098115313160148,1.7629946299774455,-0.2557335418155855,0.5631099064930495,0.8519500501123416,-0.6042661977638185,-0.051478348695809785,1.4236510316596944,0.8082753311940414,0.34166951112531785,1.042266633516471,0.8976797994840615,15.034492755666996,3.9776306768780754,76,25
Mongolia,MNG,2022,0.9952442219836557,0.8765797059355196,1.0929343872249675,1.8094325255363266,1.8285227772283543,-0.25543113760244146,0.7003690654716539,0.7052668400896818,-0.6042661977638185,-0.051478348695809785,0.885245806966087,0.8082753311940414,0.4772001058731751,1.0300454733994469,0.8496719664878116,15.049163225164785,3.9848637130688833,76,26
Mongolia,MNG,2023,1.1321042253048383,0.3320223175463316,1.211299274455067,1.998968751328179,1.228789381172994,-0.2551445166795629,0.6659495836903991,1.0565695753194972,-0.6042661977638185,-0.051478348695809785,0.885245806966087,1.021326561323618,0.4772001058731751,1.0527420632657736,0.9696915489784376,15.062872107884735,3.916627592539035,76,27
Mozambique,MOZ,2018,-1.0704302751556614,-0.09153061916490066,-0.9470062614868817,1.4695692318514049,1.2484078941311332,-0.10071319124988787,-1.418999148107567,-0.12476969879669698,-0.6042661977638185,-0.051478348695809785,-0.1915646424211279,0.3821728709348875,-0.7425752468575356,-0.2793832452633681,-0.15849252643345632,17.183449112393617,3.9189349908845554,77,22
