pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,pib_per_capita_ppc_d1
Armenia,ARM,2018,15037.0452420712,16.7409108725174,83.0249410833595,92.473107021212,2.14204783415544,2969000.0,18.905706169311,24.7565578476257,0.25,0.25,0.4375,0.5,0.475,0.4096667,0.3611111111111111,14.903736090559581,3.7212183946986177,793.1703416917007
Armenia,ARM,2019,16215.3607965094,15.8155984319769,86.8260633029699,97.847004865327,0.736345856475298,2962500.0,19.0543998660638,24.9716084573435,0.25,0.25,0.4375,0.5,0.475,0.4346666999999999,0.3611111111111111,14.90154440197821,3.686601839582973,1178.315554438199
Armenia,ARM,2020,15052.9359791136,17.7739212520107,88.5080298201293,70.1213571368789,0.463408850763634,2961500.0,18.3941203268675,26.8172956979296,0.375,0.25,0.4375,0.5,0.475,0.4283333,0.3842592592592592,14.901206792365823,3.679739362571593,-1162.4248173958003
Armenia,ARM,2021,15921.705281964,21.2039418643996,91.4853735120921,79.2489057647112,2.64014282794454,2962300.0,18.7180812244161,26.3643404113901,0.375,0.25,0.3125,0.5,0.475,0.433,0.3888888888888889,14.901476889173537,3.7332024185705035,868.7693028504
Armenia,ARM,2022,17886.1783877168,21.0691132267399,91.7106609922965,103.878629213508,4.99991586140552,2969200.0,21.2107056308882,25.4370966437794,0.375,0.25,0.375,0.5,0.475,0.4376666999999999,0.3888888888888889,14.903803451016527,3.78810398772789,1964.4731057528024
Armenia,ARM,2023,19402.7510915578,20.5736619222159,89.4111027634947,123.418750077627,2.39959276465582,2964300.0,20.4688283550424,22.8800961616671,0.375,0.25,0.25,0.5357143,0.475,0.4306666999999999,0.3888888888888889,14.902151812198879,3.7274327811237047,1516.5727038409968
Azerbaijan,AZE,2018,19781.8509058437,20.6940768116666,108.488781124,91.6725765369825,2.97797589143235,9939771.0,14.7193239323008,52.2509114518304,0.125,0.25,0.375,0.3928570999999999,0.325,0.1716667,0.3611111111111111,16.11205464074393,3.741249610209653,122.84604956690237
Azerbaijan,AZE,2019,20101.491875147,21.1295517984961,107.863960509557,85.8181454084561,3.12183056112494,10024283.0,15.1305275152599,48.8232665251868,0.125,0.25,0.375,0.3928570999999999,0.325,0.175,0.3611111111111111,16.12052110715989,3.7446566708167865,319.64096930329833
Azerbaijan,AZE,2020,19126.096851126,22.6664792823179,91.365513501165,72.0178676487811,1.18790387182911,10093121.0,15.0728005284641,41.9563201571824,0.125,0.25,0.3125,0.3928570999999999,0.325,0.1726666999999999,0.3611111111111111,16.127364759733396,3.69785299880816,-975.3950240209997
Azerbaijan,AZE,2021,20111.3756952109,16.2271252489185,91.4106367606057,76.286865687015,-3.11473447263613,10137750.0,15.3021086814666,48.8181736249399,0.125,0.25,0.3125,0.3928570999999999,0.325,0.1726666999999999,0.3611111111111111,16.131776736655397,3.585126500121907,985.2788440848999
Azerbaijan,AZE,2022,21051.2442291612,12.0116262492284,90.9530364179442,86.9822732541779,-5.67773710614177,10141756.0,15.4407252409143,56.1467373576856,0.125,0.25,0.25,0.3928570999999999,0.35,0.179,0.3611111111111111,16.132171815278813,3.511393669940984,939.868533950299
Azerbaijan,AZE,2023,21310.7386915022,17.4006159423821,92.7402972401367,83.5358861156321,0.349083720733803,10153958.0,15.40463914718,45.8408458162374,0.0,0.25,0.375,0.3928570999999999,0.35,0.1766666999999999,0.3611111111111111,16.133374236663716,3.6768508232006774,259.49446234100105
Burundi,BDI,2019,1057.95005999167,21.8987965722319,41.8352417514484,67.73172747836325,1.05451097508345,12255336.0,3.23362546270401,17.5450876204546,0.0,0.25,0.25,0.2857143,0.175,0.155,0.4444444444444444,16.321472073546268,3.6945424940217064,11.354947531440075
Burundi,BDI,2020,1030.77026419371,21.8987965722319,44.9151717353101,67.73172747836325,0.656677740998658,12617036.0,3.08325132242588,16.3339922370636,0.0,0.25,0.3125,0.25,0.175,0.1546667,0.4444444444444444,16.350558601456896,3.684603600043211,-27.17979579795997
Burundi,BDI,2021,1035.53857384938,21.8987965722319,44.9151717353101,67.73172747836325,0.650589004531073,12965481.0,3.05983493214125,17.1450267497716,0.0,0.25,0.25,0.25,0.175,0.1543333,0.4444444444444444,16.377801153278895,3.68445071768841,4.768309655670009
Burundi,BDI,2022,1031.25412243175,21.8987965722319,44.9151717353101,67.73172747836325,0.625576918322977,13321097.0,3.06930185706061,16.933802359546,0.0,0.25,0.25,0.25,0.175,0.1543333,0.4444444444444444,16.404859652111583,3.683822442770107,-4.28445141763018
Burundi,BDI,2023,1036.16712196238,21.8987965722319,44.9151717353101,67.73172747836325,0.990959506801914,13689450.0,3.07746838824348,18.155774589029,0.0,0.25,0.25,0.2142857,0.175,0.1543333,0.4444444444444444,16.43213609419609,3.6929614300257807,4.912999530630032
Benin,BEN,2018,3155.4510650627,25.900562756214,55.2945899963379,61.7951944903448,1.36073573251591,12383347.0,17.3835332547515,14.6419567509163,0.25,0.25,0.625,0.2857143,0.3,0.4413333,0.4444444444444444,16.33186322484685,3.7021260533952027,113.67176521280999
Benin,BEN,2019,3281.10470051465,25.1732556309975,55.2945899963379,63.68133231423,1.51620780888962,12726755.0,17.7682428899363,16.3125612015902,0.25,0.25,0.5625,0.25,0.2749999999999999,0.4196667,0.4444444444444444,16.359217106951007,3.70595437054324,125.65363545195032
Benin,BEN,2020,3317.8597222557,25.2065173861299,43.9858703613281,44.8332333768726,1.10934414138144,13070169.0,17.9259524694195,16.2905490528658,0.375,0.25,0.5625,0.25,0.2749999999999999,0.4026667,0.4444444444444444,16.385843092401814,3.695904653897605,36.75502174104986
Benin,BEN,2021,3464.2886286745,28.447444436108,44.2737998962402,48.0548608324409,1.95608661099463,13413417.0,18.0402746303173,16.4674003775761,0.375,0.25,0.5625,0.2857143,0.2749999999999999,0.3896667,0.4444444444444444,16.411766107194964,3.7167071434339647,146.42890641880012
Benin,BEN,2022,3588.32519938147,30.7328757658114,43.5606498718262,44.3815928877424,2.15770537478617,13759501.0,18.312830031608,17.017826707817,0.375,0.25,0.5625,0.2857143,0.2749999999999999,0.3926667,0.4444444444444444,16.437240197954065,3.7215973052077085,124.03657070697
